symbol,archetype,history_years,receivables_status,receivables_source_type,latest_rec_ratio,latest_dso,dso_3y_change,gap_3y,cash_conversion_3y,value_trap_status,compounder_class,decision
LIG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
LIX,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
LPB,BANK,15,NOT_APPLICABLE,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
LSG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
LSS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
MBB,BANK,15,NOT_APPLICABLE,UNKNOWN,,,,,,CLEAR,POTENTIAL_COMPOUNDER,
MBG,NORMAL_ENTERPRISE,13,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
MBS,SECURITIES,16,NOT_APPLICABLE,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
MCH,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
MCM,NORMAL_ENTERPRISE,10,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
MIG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
MML,NORMAL_ENTERPRISE,10,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
MSB,BANK,15,NOT_APPLICABLE,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
MSH,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,POTENTIAL_COMPOUNDER,
