symbol,archetype,history_years,data_readiness,economic_quality,earnings_durability,earnings_quality,balance_sheet,capital_allocation,dilution,accounting_consistency,critical_findings,high_findings,value_trap,compounder_class,decision_state
TCR,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TCT,NORMAL_ENTERPRISE,10,READY,FAIL,WATCH,WATCH,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
TCW,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,WATCH,PASS,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TCX,NORMAL_ENTERPRISE,15,READY,PASS,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,0,CLEAR,POTENTIAL_COMPOUNDER,BUY
TD6,NORMAL_ENTERPRISE,2,INSUFFICIENT,FAIL,PASS,UNKNOWN,WATCH,WATCH,PASS,PASS,0,1,HIGH_RISK,INSUFFICIENT_DATA,AVOID
TDB,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,PASS,WATCH,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TDC,NORMAL_ENTERPRISE,15,READY,WATCH,WATCH,UNKNOWN,PASS,WATCH,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TDF,NORMAL_ENTERPRISE,9,READY,WATCH,PASS,PASS,WATCH,WATCH,WATCH,PASS,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
TDG,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,FAIL,WATCH,WATCH,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TDH,NORMAL_ENTERPRISE,15,READY,FAIL,FAIL,UNKNOWN,PASS,PASS,PASS,WATCH,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TDM,NORMAL_ENTERPRISE,12,READY,WATCH,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
TDP,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,UNKNOWN,FAIL,PASS,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TDS,NORMAL_ENTERPRISE,10,READY,WATCH,WATCH,PASS,WATCH,WATCH,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TDT,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,WATCH,PASS,WATCH,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TDW,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TED,NORMAL_ENTERPRISE,5,READY,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TEG,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,PASS,WATCH,WATCH,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TET,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,WATCH,PASS,PASS,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
TFC,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,WATCH,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TGG,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TGP,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TH1,NORMAL_ENTERPRISE,10,READY,WATCH,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
THB,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,PASS,WATCH,WATCH,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
THD,NORMAL_ENTERPRISE,8,READY,FAIL,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
THG,NORMAL_ENTERPRISE,15,READY,PASS,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,0,CLEAR,POTENTIAL_COMPOUNDER,BUY
THM,NORMAL_ENTERPRISE,4,PARTIAL,FAIL,WATCH,PASS,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
THN,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,PASS,PASS,PASS,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
THP,NORMAL_ENTERPRISE,7,READY,FAIL,PASS,FAIL,FAIL,PASS,WATCH,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
THS,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
THT,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,PASS,FAIL,PASS,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
THU,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
THW,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,FAIL,WATCH,PASS,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TIE,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TIG,NORMAL_ENTERPRISE,15,READY,FAIL,WATCH,UNKNOWN,PASS,WATCH,PASS,WATCH,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
